Time,pair3
24.10.2019 02:05,111
24.10.2019 02:10,100
24.10.2019 02:15,105
24.10.2019 02:20,119
24.10.2019 02:25,116
24.10.2019 02:30,133
24.10.2019 02:35,130
24.10.2019 02:40,120
24.10.2019 02:45,123
24.10.2019 02:50,123
24.10.2019 02:55,105
24.10.2019 03:00,115
24.10.2019 03:05,119
24.10.2019 03:10,135
24.10.2019 03:15,140
24.10.2019 03:20,155
24.10.2019 03:25,141
24.10.2019 03:30,151
24.10.2019 03:35,141
24.10.2019 03:40,148
24.10.2019 03:45,151
24.10.2019 03:50,144
24.10.2019 03:55,154
24.10.2019 04:00,147
24.10.2019 04:05,127
24.10.2019 04:10,152
24.10.2019 04:15,140
24.10.2019 04:20,161
24.10.2019 04:25,146
24.10.2019 04:30,109
24.10.2019 04:35,121
24.10.2019 04:40,137
24.10.2019 04:45,122
24.10.2019 04:50,124
24.10.2019 04:55,152
24.10.2019 05:00,131
24.10.2019 05:05,136
24.10.2019 05:10,149
24.10.2019 05:15,127
24.10.2019 05:20,133
24.10.2019 05:25,127
24.10.2019 05:30,138
24.10.2019 05:35,139
24.10.2019 05:40,119
24.10.2019 05:45,130
24.10.2019 05:50,107
24.10.2019 05:55,109
24.10.2019 06:00,126
24.10.2019 06:05,104
24.10.2019 06:10,110
24.10.2019 06:15,119
24.10.2019 06:20,114
24.10.2019 06:25,97
24.10.2019 06:30,85
24.10.2019 06:35,91
24.10.2019 06:40,91
24.10.2019 06:45,97
24.10.2019 06:50,89
24.10.2019 06:55,105
24.10.2019 07:00,88
24.10.2019 07:05,99
24.10.2019 07:10,105
24.10.2019 07:15,121
24.10.2019 07:20,79
24.10.2019 07:25,82
24.10.2019 07:30,86
24.10.2019 07:35,107
24.10.2019 07:40,115
24.10.2019 07:45,90
24.10.2019 07:50,88
24.10.2019 07:55,89
24.10.2019 08:00,77
24.10.2019 08:05,70
24.10.2019 08:10,70
24.10.2019 08:15,67
24.10.2019 08:20,66
24.10.2019 08:25,63
24.10.2019 08:30,74
24.10.2019 08:35,85
24.10.2019 08:40,79
24.10.2019 08:45,77
24.10.2019 08:50,65
24.10.2019 08:55,47
24.10.2019 09:00,47
24.10.2019 09:05,66
24.10.2019 09:10,76
24.10.2019 09:15,70
24.10.2019 09:20,69
24.10.2019 09:25,75
24.10.2019 09:30,56
24.10.2019 09:35,44
24.10.2019 09:40,69
24.10.2019 09:45,63
24.10.2019 09:50,48
24.10.2019 09:55,50
24.10.2019 10:00,61
24.10.2019 10:05,47
24.10.2019 10:10,45
24.10.2019 10:15,48
24.10.2019 10:20,47
24.10.2019 10:25,54
24.10.2019 10:30,73
24.10.2019 10:35,57
24.10.2019 10:40,60
24.10.2019 10:45,67
24.10.2019 10:50,60
24.10.2019 10:55,41
24.10.2019 11:00,48
24.10.2019 11:05,46
24.10.2019 11:10,64
24.10.2019 11:15,46
24.10.2019 11:20,47
24.10.2019 11:25,52
24.10.2019 11:30,60
24.10.2019 11:35,53
24.10.2019 11:40,53
24.10.2019 11:45,63
24.10.2019 11:50,63
24.10.2019 11:55,63
24.10.2019 12:00,65
24.10.2019 12:05,60
24.10.2019 12:10,53
24.10.2019 12:15,52
24.10.2019 12:20,61
24.10.2019 12:25,60
24.10.2019 12:30,56
24.10.2019 12:35,51
24.10.2019 12:40,59
24.10.2019 12:45,55
24.10.2019 12:50,58
24.10.2019 12:55,65
24.10.2019 13:00,74
24.10.2019 13:05,49
24.10.2019 13:10,42
24.10.2019 13:15,35
24.10.2019 13:20,50
24.10.2019 13:25,57
24.10.2019 13:30,54
24.10.2019 13:35,42
24.10.2019 13:40,40
24.10.2019 13:45,60
24.10.2019 13:50,58
24.10.2019 13:55,62
24.10.2019 14:00,51
24.10.2019 14:05,56
24.10.2019 14:10,62
24.10.2019 14:15,54
24.10.2019 14:20,64
24.10.2019 14:25,71
24.10.2019 14:30,67
24.10.2019 14:35,73
24.10.2019 14:40,62
24.10.2019 14:45,63
24.10.2019 14:50,78
24.10.2019 14:55,79
24.10.2019 15:00,91
24.10.2019 15:05,66
24.10.2019 15:10,64
24.10.2019 15:15,71
24.10.2019 15:20,62
24.10.2019 15:25,70
24.10.2019 15:30,63
24.10.2019 15:35,67
24.10.2019 15:40,75
24.10.2019 15:45,74
24.10.2019 15:50,77
24.10.2019 15:55,87
24.10.2019 16:00,84
24.10.2019 16:05,70
24.10.2019 16:10,79
24.10.2019 16:15,97
24.10.2019 16:20,93
24.10.2019 16:25,80
24.10.2019 16:30,96
24.10.2019 16:35,98
24.10.2019 16:40,101
24.10.2019 16:45,93
24.10.2019 16:50,89
24.10.2019 16:55,81
24.10.2019 17:00,110
24.10.2019 17:05,110
24.10.2019 17:10,121
24.10.2019 17:15,119
24.10.2019 17:20,121
24.10.2019 17:25,100
24.10.2019 17:30,102
24.10.2019 17:35,113
24.10.2019 17:40,111
24.10.2019 17:45,131
24.10.2019 17:50,121
24.10.2019 17:55,119
24.10.2019 18:00,129
24.10.2019 18:05,105
24.10.2019 18:10,118
24.10.2019 18:15,104
24.10.2019 18:20,100
24.10.2019 18:25,90
24.10.2019 18:30,104
24.10.2019 18:35,122
24.10.2019 18:40,109
24.10.2019 18:45,118
24.10.2019 18:50,105
24.10.2019 18:55,107
24.10.2019 19:00,111
24.10.2019 19:05,88
24.10.2019 19:10,110
24.10.2019 19:15,120
24.10.2019 19:20,134
24.10.2019 19:25,112
24.10.2019 19:30,93
24.10.2019 19:35,118
24.10.2019 19:40,100
24.10.2019 19:45,99
24.10.2019 19:50,104
24.10.2019 19:55,102
24.10.2019 20:00,103
24.10.2019 20:05,107
24.10.2019 20:10,112
24.10.2019 20:15,116
24.10.2019 20:20,150
24.10.2019 20:25,132
24.10.2019 20:30,134
